"concept_id","language","label_type","label","source_column"
"era:practice:h30","en","alt","Drying Unimpr","Subpractice.S"
"era:practice:b38","en","pref","No or Zero Tillage","Subpractice"
"era:practice:b38","en","alt","NoTill","Subpractice.S"
"era:practice:b39","en","pref","Reduced or Minimum Tillage","Subpractice"
"era:practice:b39","en","alt","MinTill","Subpractice.S"
"era:practice:b26","en","pref","Plastic Mulch","Subpractice"
"era:practice:b27","en","pref","Mulch (Unspecified Plants)","Subpractice"
"era:practice:b27","en","alt","Mulch (noID)","Subpractice.S"
"era:practice:b27.1","en","pref","Mulch (N fixing)","Subpractice"
"era:practice:b27.1","en","alt","Mulch (Nfix)","Subpractice.S"
"era:practice:b27.2","en","pref","Mulch (Non N fixing)","Subpractice"
"era:practice:b27.2","en","alt","Mulch (nonNfix)","Subpractice.S"
"era:practice:b27.3","en","pref","Mulch (N fixing & Non N fixing)","Subpractice"
"era:practice:b27.3","en","alt","Mulch (Mixed)","Subpractice.S"
"era:practice:b51","en","pref","Mulch (Other Materials)","Subpractice"
"era:practice:b51","en","alt","Mulch (Other)","Subpractice.S"
"era:practice:b11.1","en","pref","Green Manure (N fixing In Time)","Subpractice"
"era:practice:b11.1","en","alt","Green Manure (Nfix; Time)","Subpractice.S"
"era:practice:b11.2","en","pref","Green Manure (N fixing In Space)","Subpractice"
"era:practice:b11.2","en","alt","Green Manure (Nfix; Space)","Subpractice.S"
"era:practice:b13.2","en","pref","Green Manure (Mixed In Space)","Subpractice"
"era:practice:b13.2","en","alt","Green Manure (Mixed; Space)","Subpractice.S"
"era:practice:b12.1","en","pref","Green Manure (Non N fixing In Time)","Subpractice"
"era:practice:b12.1","en","alt","Green Manure (nonNfix; Time)","Subpractice.S"
"era:practice:b12.2","en","pref","Green Manure (Non N fixing In Space)","Subpractice"
"era:practice:b12.2","en","alt","Green Manure (nonNfix; Space)","Subpractice.S"
"era:practice:b28","en","pref","Biochar","Subpractice"
"era:practice:b32","en","pref","Liming or Calcium Addition","Subpractice"
"era:practice:b32","en","alt","pH","Subpractice.S"
"era:practice:b40","en","pref","Crop Residue Unresolved (Unspecified)","Subpractice"
"era:practice:b40","en","alt","Residue Unkn (NoID; NoFate)","Subpractice.S"
"era:practice:b40.1","en","pref","Crop Residue Unresolved (N fixing)","Subpractice"
"era:practice:b40.1","en","alt","Residue Unkn (Nfix; NoFate)","Subpractice.S"
"era:practice:b40.2","en","pref","Crop Residue Unresolved (Non N fixing)","Subpractice"
"era:practice:b40.2","en","alt","Residue Unkn (nonNfix; NoFate)","Subpractice.S"
"era:practice:b41","en","pref","Crop Residue Incorporation (Unspecified)","Subpractice"
"era:practice:b41","en","alt","Residue Incorp (noID)","Subpractice.S"
"era:practice:b41.1","en","pref","Crop Residue Incorporation (N fixing)","Subpractice"
"era:practice:b41.1","en","alt","Residue Incorp (Nfix)","Subpractice.S"
"era:practice:b41.2","en","pref","Crop Residue Incorporation (Non N fixing)","Subpractice"
"era:practice:b41.2","en","alt","Residue Incorp (nonNfix)","Subpractice.S"
"era:practice:b60","en","pref","Improved Fallow (Unspecified)","Subpractice"
"era:practice:b60","en","alt","Imp Fallow (noID)","Subpractice.S"
"era:practice:b60.1","en","pref","Improved Fallow (N fixing)","Subpractice"
"era:practice:b60.1","en","alt","Imp Fallow (Nfix)","Subpractice.S"
"era:practice:b60.2","en","pref","Improved Fallow (Non N fixing)","Subpractice"
"era:practice:b60.2","en","alt","Imp Fallow (nonNfix)","Subpractice.S"
"era:practice:b60.3","en","pref","Improved Fallow (N & Non N fixing)","Subpractice"
"era:practice:b60.3","en","alt","Imp Fallow (Mixed)","Subpractice.S"
"era:practice:h24","en","pref","Natural or Bare Fallow","Subpractice"
"era:practice:h24","en","alt","Fallow Unimpr","Subpractice.S"
"era:practice:h6","en","pref","Conventional Tillage","Subpractice"
"era:practice:h6","en","alt","Conv Till","Subpractice.S"
"era:practice:h35","en","pref","Crop Residues Removed","Subpractice"
"era:practice:h35","en","alt","Residue Removed","Subpractice.S"
"era:practice:h36","en","pref","Crop Residues Burnt","Subpractice"
"era:practice:h36","en","alt","Residue Burnt","Subpractice.S"
"era:practice:h39","en","pref","Crop Residues Grazed","Subpractice"
"era:practice:h39","en","alt","Residue Grazed","Subpractice.S"
"era:practice:h37","en","pref","Crop Residue Incorporated","Subpractice"
"era:practice:h37","en","alt","Residue Incorp","Subpractice.S"
"era:practice:h6.1","en","pref","No-Till (Off-season)","Subpractice"
