concept_id,preferred_label,recommended_route,public_mapping_schemes,public_mapping_targets
AOM_001513,Microchloa caffra,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_121779;wfo-0000879878
AOM_001514,Pogonarthria squarrosa,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_269603;wfo-0000894422
AOM_001516,Schizachyrium exile,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_1564046;wfo-0000898090
AOM_001517,Schizachyrium jeffreysii,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_2851936;wfo-0000898117
AOM_001518,Schoenefeldia gracilis,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_751703;wfo-0000898380
AOM_001520,Stipa parviflora,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_52162;wfo-0000902569
AOM_001521,Stipa tenacissima,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_666013;wfo-0000902920
AOM_001522,Tripsacum,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_4562;wfo-4000039309
AOM_001529,Trifolium,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_3898;wfo-4000039133
AOM_001530,Psophocarpus scandens,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_47247;wfo-0000183752
AOM_001532,Spermacoce stachydea,research_taxon_insufficient_for_material,cpc-component;world-flora-online,01919.9;wfo-0000312764
AOM_001533,Amaranthus cruentus,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_117272;wfo-0000530168
AOM_001537,Commelina benghalensis,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_34173;wfo-0000358148
AOM_001539,Cyperaceae,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_4609;wfo-7000000170
AOM_001540,Cyperus elegantulus,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_1234201;wfo-0000372553
AOM_001541,Cyperus rotundus,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_512623;wfo-0000381487
AOM_001542,Euphorbia heterophylla,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_212910;wfo-0000962516
AOM_001543,Fabaceae,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_3803;wfo-7000000323
AOM_001551,Tribulus terrestris,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_210369;wfo-0000457857
AOM_001556,Lemna,research_taxon_insufficient_for_material,ncbi-taxonomy;world-flora-online,http://purl.obolibrary.org/obo/NCBITaxon_4469;wfo-4000043199
AOM_001557,Lemna minor,research_taxon_insufficient_for_material,ncbi-taxonomy;world-flora-online,http://purl.obolibrary.org/obo/NCBITaxon_4472;wfo-0000224440
AOM_001558,Potamogeton lucens,research_taxon_insufficient_for_material,ncbi-taxonomy;world-flora-online,http://purl.obolibrary.org/obo/NCBITaxon_189327;wfo-0000769883
